Año,Departamento,Producto,Area (ha),Produccion (ton),Rendimiento (ha/ton),Produccion Nacional (ton),Area Nacional (ha)
2010,VAUPES,PLATANO,9.00,54.00,6.00,0.00,0.00
2010,VICHADA,PLATANO,327.00,"1,660.00",5.08,0.06,0.09
2011,AMAZONAS,PLATANO,190.00,670.00,3.53,0.02,0.05
2011,ANTIOQUIA,PLATANO,"41,352.70","254,594.14",6.16,8.92,11.60
2011,ARAUCA,PLATANO,"24,760.00","334,215.00",13.50,11.71,6.95
2011,ATLANTICO,PLATANO,211.67,"1,281.67",6.06,0.04,0.06
2011,BOLIVAR,PLATANO,"4,277.00","32,538.00",7.61,1.14,1.20
2011,BOYACA,PLATANO,"5,101.83","38,777.31",7.60,1.36,1.43
2011,CALDAS,PLATANO,"17,494.26","205,833.70",11.77,7.21,4.91
2011,CAQUETA,PLATANO,"12,614.00","78,412.00",6.22,2.75,3.54
2011,CASANARE,PLATANO,"2,928.68","28,203.71",9.63,0.99,0.82
2011,CAUCA,PLATANO,"11,391.64","73,207.40",6.43,2.56,3.20
2011,CESAR,PLATANO,"3,007.00","15,905.00",5.29,0.56,0.84
2011,CHOCO,PLATANO,"12,492.80","71,108.20",5.69,2.49,3.51
2011,CORDOBA,PLATANO,"20,991.00","153,446.69",7.31,5.38,5.89
2011,CUNDINAMARCA,PLATANO,"5,697.00","38,463.44",6.75,1.35,1.60
2011,GUAINIA,PLATANO,220.00,"1,430.00",6.50,0.05,0.06
2011,GUAVIARE,PLATANO,"3,650.00","17,800.00",4.88,0.62,1.02
2011,HUILA,PLATANO,"26,736.10","88,185.40",3.30,3.09,7.50
2011,LA GUAJIRA,PLATANO,"1,179.00","6,271.50",5.32,0.22,0.33
2011,MAGDALENA,PLATANO,"2,508.00","18,860.00",7.52,0.66,0.70
2011,META,PLATANO,"13,598.30","211,173.60",15.53,7.40,3.82
2011,NARIÑO,PLATANO,"25,003.50","156,775.10",6.27,5.49,7.02
2011,NORTE DE SANTANDER,PLATANO,"13,240.50","80,846.20",6.11,2.83,3.72
2011,PUTUMAYO,PLATANO,"5,442.00","39,692.00",7.29,1.39,1.53
2011,QUINDIO,PLATANO,"30,164.50","301,931.49",10.01,10.58,8.47
2011,RISARALDA,PLATANO,"20,594.17","173,849.75",8.44,6.09,5.78
2011,SANTANDER,PLATANO,"10,847.65","102,479.73",9.45,3.59,3.04
2011,SUCRE,PLATANO,"1,159.15","6,433.28",5.55,0.23,0.33
2011,TOLIMA,PLATANO,"16,933.00","138,342.10",8.17,4.85,4.75
2011,VALLE DEL CAUCA,PLATANO,"22,122.00","181,152.00",8.19,6.35,6.21
2011,VAUPES,PLATANO,17.00,102.00,6.00,0.00,0.00
